,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
40,40,2020-01-16,@,MIL,L,123,128,43,98,.439,15,49,.306,22,27,.815,10,43,16,4,7,7,25,,43,87,.494,16,31,.516,26,37,.703,7,50,21,6,6,10,22
41,41,2020-01-18,,PHO,L,119,123,42,96,.438,15,42,.357,20,22,.909,4,39,26,11,6,11,24,,42,89,.472,13,31,.419,26,30,.867,10,52,27,6,6,15,16
42,42,2020-01-20,,LAL,W,139,107,52,93,.559,16,34,.471,19,29,.655,14,48,31,10,5,12,26,,39,89,.438,7,26,.269,22,29,.759,12,36,22,5,8,15,23
43,43,2020-01-22,,MEM,W,119,95,45,89,.506,14,32,.438,15,20,.750,9,44,32,11,9,9,14,,36,85,.424,11,32,.344,12,15,.800,5,40,24,7,8,16,16
44,44,2020-01-24,@,ORL,W,109,98,40,86,.465,14,35,.400,15,18,.833,9,44,27,10,7,13,20,,36,90,.400,12,37,.324,14,19,.737,13,46,18,5,1,14,14
45,45,2020-01-26,@,NOP,L,108,123,41,89,.461,8,33,.242,18,22,.818,7,37,21,6,5,16,29,,44,92,.478,16,36,.444,19,29,.655,18,54,31,7,5,18,21
46,46,2020-01-28,@,MIA,W,109,101,39,83,.470,13,36,.361,18,24,.750,11,48,24,5,8,14,22,,33,89,.371,9,37,.243,26,31,.839,11,45,15,11,2,10,21
47,47,2020-01-30,,GSW,W,119,104,42,88,.477,15,35,.429,20,22,.909,14,51,27,12,4,22,24,,33,77,.429,12,39,.308,26,30,.867,3,30,24,11,6,16,19
48,48,2020-02-01,,PHI,W,116,95,38,80,.475,8,30,.267,32,41,.780,9,42,15,9,2,10,20,,31,84,.369,7,33,.212,26,31,.839,13,47,15,6,3,14,27
49,49,2020-02-03,@,ATL,W,123,115,48,90,.533,12,29,.414,15,17,.882,11,44,21,10,5,15,22,,42,84,.500,12,30,.400,19,21,.905,6,32,22,9,6,17,19
50,50,2020-02-05,,ORL,W,116,100,46,86,.535,13,23,.565,11,16,.688,6,41,23,10,6,12,19,,32,75,.427,13,31,.419,23,30,.767,9,39,20,10,6,17,13
